AC,BE,CO,HE,PO,SE,SD,ST,TR,UN
accomplish,acquaintance,abide,allure,acquire,afraid,ability,adrenaline,accustomed,accept
accomplished,advice,accord,appeal,agency,alarm,act,adventure,allah,acceptance
achieve,affection,accordance,appetite,aggressive,alert,acted,adventures,almighty,acknowledge
achievement,aid,adequately,attraction,ahead,armour,acting,amusement,ancestors,acknowledgement
achieving,ally,appropriate,celebrations,attack,attention,action,amusing,ancestry,acknowledging
advance,assist,appropriately,charm,authority,barrier,actions,attempt,angel,address
advancement,assistance,authorities,cheer,award,beware,activist,attempted,angels,aesthetic
advantage,association,authorization,cheerful,benefit,calculation,activities,attempting,atheist,agreement
appreciate,backing,authorized,comedy,bonus,calm,activity,attempts,awe,amends
appreciation,belonging,avoid,comfort,calibre,calmness,acts,audacity,belief,assortment
approval,brotherhood,avoided,comfortable,capital,camouflage,aim,bored,believers,balance
attained,care,avoiding,compensation,cash,careful,analysis,boredom,bible,balancing
best,caring,certainty,contentment,command,catastrophic,artistic,brave,bless,beautiful
biggest,closeness,code,courting,commerce,caution,awareness,breakthrough,blessed,beautifully
brains,communal,combination,craving,conquer,cautious,backbone,breathtaking,blessing,beauty
business,companion,commitment,delicious,conquest,clean,brilliance,bustle,blessings,charitable
capabilities,companions,commitments,delight,contest,consequences,brooding,challenge,brood,climate
capability,companionship,committed,delighted,control,crisis,choice,challenged,catholic,coalition
capable,compassion,committing,delightful,controlling,custody,choose,challenges,ceremonies,collaboration
capacity,compassionate,compliance,delights,dealing,damages,claiming,challenging,ceremony,communion
celebrate,concern,comply,desire,demand,danger,clever,changes,chapel,communities
champion,confidence,composure,diversion,demands,dangerous,college,contradiction,christ,community
compete,contribution,concession,ease,dominance,defend,confident,courage,christianity,company
competence,coop,confines,ecstasy,dominant,defending,confrontation,coward,christians,complex
competent,cousin,consensus,elation,dominate,defence,contemplation,curiosity,church,compromise
competing,delicate,consent,enchantment,dominion,defences,controversial,dare,churches,connection
competition,dependable,conservation,enjoy,earning,defensive,controversy,daring,clan,cooperation
competitive,empathy,conservative,enjoyed,earnings,disease,conviction,different,commandments,cooperative
completion,encourage,convention,enjoying,economics,enemies,create,discover,congregation,coordinated
craft,encouraged,conventional,enjoyment,edge,foresight,create,discovered,conscience,cruel
defeat,encouragement,conventions,enjoys,elevation,guarantee,creates,discoveries,corrupted,culture
development,encouraging,courtesy,entertain,elite,guard,creation,discovering,damned,decorum
dignity,families,covenant,entertaining,enforced,guardian,creative,disturbance,descendants,democracy
effective,family,credibility,entertainment,enforcement,guarding,creativity,drama,devil,democratic
efficiency,father,decency,erotic,entitled,harm,critically,dramatic,devout,democrats
efficient,feeling,decree,euphoria,expensive,harmless,curious,dramatically,divinity,discrimination
elegance,fidelity,directions,fascination,fancy,health,dash,drive,ethical,diverse
employment,fondness,discipline,fetish,fight,heed,decision,dynamic,ethics,diversity
experience,forgive,duties,flavour,force,hiding,defiance,dynamics,faith,empowered
expertise,forgiveness,duty,fulfilment,forcing,insurance,determination,eagerness,faithful,environment
facility,forgiving,entity,fun,fortune,menace,determined,endeavour,folk,environmental
greatest,friend,establishment,funny,gain,neat,develop,energetic,folklore,equality
growth,friendly,etiquette,games,gaining,order,devotion,energies,generations,explanation
honours,friends,familiar,glee,humiliation,precautions,direct,energy,god,fair
improvement,friendship,fasting,gratification,income,preserving,directing,enthusiasm,grace,fairness
improvements,generosity,flexibility,happier,influence,prevent,direction,enthusiastic,habit,fellowship
improving,gentle,forbidden,happily,influential,privacy,discovery,excitement,habits,fusion
industry,genuine,formally,happiness,interests,prudent,dispute,exciting,heaven,generous
job,gift,hesitate,happy,lead,quiet,disregard,exercise,heavenly,graceful
jobs,goodness,hierarchy,hilarious,leadership,refuge,distinctive,experiences,heavens,greed
loose,goodwill,honestly,holiday,luxury,retreat,education,experiment,heritage,greedy
losing,grandma,humble,humour,management,safe,educational,exploration,historical,humanity
mastery,grandmother,humility,indulgence,manipulation,safely,effort,explorer,holiness,humanity
merit,grandparents,identity,jest,might,safer,efforts,exploring,holy,injustice
perfection,guidance,imposing,joke,mighty,safety,enlightenment,extraordinary,honouring,interpretation
perform,help,improper,joking,money,salvation,evolving,extreme,inheritance,justice
popular,helpful,inappropriate,joy,monopoly,save,famous,fascinating,innocence,liberal
pride,helping,instructed,kidding,ownership,scare,free,fervour,institution,liberation
productive,honest,instruction,laughter,platinum,scared,freedom,flurry,islam,liberties
professional,hospitality,integrity,leisure,position,secure,freely,frenzy,jesus,liberty
progress,husband,law,lightness,potential,secured,goal,fuss,legacy,likeness
promoted,intimacy,laws,longing,power,securely,goals,gamble,marriage,mankind
promotion,kindly,legal,lure,powerful,securing,grit,glamour,marriages,meaning
proud,kindness,legislation,lust,privilege,security,headway,hustle,married,meaningful
qualified,love,legitimate,mirth,proceeds,shelter,hobby,hysteria,missionary,mercy
quality,loyal,mainstream,optimism,profit,shield,hunch,impatience,mohammed,natural
readiness,loyalty,maintaining,orgasm,profitable,silence,idea,impulse,moral,nature
recognize,mum,measure,party,profits,stability,ignorance,innovative,morality,nature
recognized,mother,modest,play,property,stable,imagination,instability,morals,peace
recognizes,need,modesty,playful,prosperity,stealth,inclination,intensity,mosque,peaceful
results,neighbourhood,must,pleasant,purchase,survival,independence,intensive,muhammad,protect
reward,neighbours,obedience,pleasing,purchases,surviving,independent,interesting,muslim,protected
rewards,nurture,obey,pleasure,pursuit,threat,individual,intriguing,mystic,protecting
skill,parents,obligated,pleasures,resources,threaten,individuality,invention,myth,protection
skills,participation,obligation,recreation,revenue,threatened,ingenuity,inventions,origins,protects
succeed,pity,obliged,refreshment,rich,threatening,initiative,irregular,orthodox,realization
succeeded,relationship,official,rejoicing,richest,threats,insight,motivation,prayer,rights
succeeding,reliable,orders,relax,salary,tidy,insight,movement,praying,sacrifice
success,rely,organization,relaxation,selfish,tranquillity,inspiration,mysterious,preaching,serenity
successes,responsibilities,outrageous,relish,spine,trouble,inspired,newer,priest,share
successfully,responsibility,patience,rest,standing,violence,inspiring,newest,prophet,sharing
top,responsible,periodic,satisfaction,status,ward,instinct,newly,protestant,sincerity
training,sincere,permitting,satisfying,strength,warn,intellect,novel,providence,social
win,sorrow,policies,savour,strengthened,warned,intellectual,novelty,purity,socially
won,support,policy,seduction,strengths,warning,intelligence,opportunities,qualms,society
work,supporting,polite,sensation,strong,,intelligent,opportunity,relatives,solidarity
worth,supportive,prescription,sensual,superior,,intend,paranoid,religion,spiritual
yield,sympathetic,preserved,sex,superiority,,intends,passion,religions,tact
,sympathy,procedure,sexual,supervision,,intention,passionate,religious,tolerance
,tenderness,punishment,sexuality,surplus,,interest,progressive,righteousness,tolerant
,thanked,reason,sexually,sway,,intuition,radical,rite,tolerate
,treatment,reasonable,sexy,trade,,knowing,revolutionary,ritual,tolerated
,trustworthy,regularly,sparkle,utility,,knowledge,risk,rituals,understand
,warmth,regulation,temptation,vantage,,learn,risks,sacred,understanding
,wife,regulations,thirst,victory,,learned,shock,saviour,understanding
,,repetitive,unpleasant,wages,,learning,shocked,scripture,unfair
,,required,vacation,weak,,lessons,spontaneous,sermon,union
,,requirement,,weaker,,logic,stimulated,sermons,united
,,reserve,,weakness,,mature,stimulating,service,unity
,,resignation,,weaknesses,,meditation,stir,siblings,universal
,,resolution,,wealth,,mind,strain,sin,vulnerable
,,respect,,wealthy,,mind,striving,soul,welcome
,,respected,,,,minded,struggle,theology,welcoming
,,respects,,,,observation,surprising,tradition,wisdom
,,restraint,,,,obsessed,surprisingly,traditional,wise
,,restricted,,,,obsession,temper,traditionally,wisely
,,restrictions,,,,opinion,temperament,traditions,
,,restrictive,,,,original,tension,virtue,
,,reverence,,,,philosophy,thrill,worship,
,,routinely,,,,plan,turmoil,,
,,rule,,,,pluck,uncertain,,
,,rules,,,,pondering,uncertainty,,
,,ruling,,,,principles,unfamiliar,,
,,served,,,,protest,unique,,
,,shame,,,,purpose,unprecedented,,
,,shyness,,,,rationale,unpredictable,,
,,similarity,,,,reasoning,unstable,,
,,standards,,,,reflection,variety,,
,,structure,,,,resolve,venture,,
,,subordinate,,,,revolt,vitality,,
,,suited,,,,scholar,,,
,,system,,,,schooling,,,
,,trust,,,,science,,,
,,trusted,,,,scrutiny,,,
,,unison,,,,seriousness,,,
,,violate,,,,sceptical,,,
,,violated,,,,smart,,,
,,warrant,,,,special,,,
,,withholding,,,,speculation,,,
,,,,,,spirit,,,
,,,,,,talent,,,
,,,,,,talents,,,
,,,,,,think,,,
,,,,,,thinking,,,
,,,,,,thinks,,,
,,,,,,thought,,,
,,,,,,thoughtful,,,
,,,,,,thoughts,,,
,,,,,,undertaking,,,
,,,,,,vanity,,,
,,,,,,vision,,,
,,,,,,willpower,,,
,,,,,,wit,,,
