AC,BE,CO,HE,PO,SE,SD,ST,TR,UN
successful,mum,policy,comedy,riches,precautions,creativity,adventure,congregation,mankind
productive,parents,legal,funny,fortune,threatening,learning,glamour,scripture,fusion
results,family,law,humour,humiliation,threats,distinctive,mysterious,sermon,humanity
accomplishments,grandparents,imposing,humorous,gain,defending,talent,opportunity,church,sacrifice
achieve,mother,modest,enjoying,gold,alarm,smart,opportunities,churches,understand
accomplished,love,respect,play,acquire,neat,initiative,trepidation,worship,rights
competing,relationship,familiar,entertainment,persuasion,harmless,act,adventures,sermons,wise
work,helping,rule,lure,luxury,threat,learn,experiences,missionary,concert
competitive,companions,served,appeal,dominion,warning,actions,drama,service,acknowledgement
progress,grandma,etiquette,laughs,profitable,secure,activity,enthusiasm,god,society
development,mums,humility,desire,salary,threatened,intellect,exploration,christians,socially
value,care,orders,erotic,selfish,threaten,inspiring,enthusiastic,heavens,ensemble
popular,father,official,orgasm,powerful,dangerous,ignorance,unfamiliar,mosque,charitable
elegant,feeling,reverence,sex,prestigious,danger,confrontation,novelty,prophet,welcoming
experience,caring,violated,seduction,control,defence,creative,passionate,cult,social
career,relationships,boundary,joke,toughness,retreat,develop,disturbance,piety,nature
advance,grandmother,duties,lust,potential,prevent,aptitude,extraordinary,obscene,accept
success,friendliness,obligated,merry,luxurious,harm,minded,fascinating,ancient,repose
fame,tenderness,duty,sexual,rich,defensive,zeal,intriguing,faithful,agreement
business,wife,identity,savour,power,prudent,disregard,interesting,tribe,tolerance
professional,husbands,permission,delicious,strength,disease,devotion,experimental,gods,collectively
performance,friends,violate,enjoy,aggressive,precaution,thoughtful,exploring,rabbi,meaning
awarded,hospitality,reserve,pleasure,status,enemies,inspiration,dramatic,blessings,understanding
reputation,husband,establishment,happy,agency,safety,resolve,vitality,muslim,democracy
prominent,advice,obedience,comfortable,purchase,refuge,special,discovered,clan,democratic
applause,neighbours,patriotic,glad,benefit,saving,creation,turmoil,rituals,united
honour,daughter,politeness,enjoyed,interests,attention,create,unique,redemption,culture
promoted,acquaintance,submission,attraction,platinum,damaged,thought,bustle,souls,liberation
appreciation,friendship,respectfully,comfort,bounty,calm,idea,novel,ritual,injustice
qualified,aid,trusted,delightful,dealing,stability,grasp,innovation,sacred,tolerate
efficiency,pity,laws,gusto,demanded,heed,thesis,unpredictable,honour,fairness
industry,companion,officially,satisfaction,wages,save,thoughts,attempt,traditions,communities
efficient,compassionate,comply,contentment,earning,guarantee,tenacity,extreme,priests,cooperation
jobs,friend,humble,refreshment,weak,violence,awareness,attempted,awe,justice
succeed,encourage,abide,vacation,command,afraid,pondering,vibrant,religion,climate
careers,responsibilities,honestly,sexy,position,trouble,knowing,amusing,bible,address
celebrate,wives,reason,holidays,force,sanctuary,speculation,different,preaching,environment
proudly,mothers,subordinate,courting,money,privacy,knowledge,uncertain,moral,explanation
achievement,genuine,avoid,pleasant,lead,guard,educational,challenging,soul,natural
job,sympathy,committed,fun,ahead,security,choose,excitement,blessed,
successfully,forgive,fasting,holiday,edge,securely,intelligence,dull,christ,
yield,delicate,rules,happily,rank,secured,mind,exciting,innocence,
competitor,families,unacceptable,games,superior,menace,reasoning,curiosity,holy,
win,cousin,commitment,unpleasant,fight,lookout,learned,shock,sins,
prizes,ally,appropriate,flavour,cash,safe,scholar,attempting,heaven,
competition,donation,obey,pleasing,controls,alert,intention,experiments,righteous,
worthy,sorrow,punishment,charm,management,guarding,directing,frontier,muslims,
skills,cares,convention,cheerful,conquer,armour,grit,attempts,damned,
won,backing,integrity,jest,conquest,safely,vision,discovering,folk,
compete,need,deference,sensual,elevation,endangered,dedication,pep,islamic,
best,help,regularity,entertain,attack,defender,claiming,variety,paradise,
pride,gently,forbidden,enjoys,victory,safeguard,instinct,nerve,religious,
improvement,godfather,hierarchy,sensation,powers,securing,,progressive,mystic,
winning,honest,obliged,sparkle,authority,shelter,,surprisingly,prayer,
recognize,neighbourhoods,required,,superiority,consequences,,dynamic,grace,
skill,companionship,must,,wealthy,barrier,,,vice,
flair,dependable,credibility,,income,clean,,,clergy,
triumph,fondness,measure,,wealth,infection,,,blessing,
glory,association,patience,,contest,order,,,ceremony,
infamous,intimacy,resolution,,richest,hiding,,,heavenly,
notorious,allowance,formally,,economics,health,,,bless,
achievements,reliability,committing,,commerce,,,,married,
greatest,supportive,prohibition,,trade,,,,marriage,
honoured,empathy,reasonable,,splendour,,,,protestant,
supreme,responsible,routinely,,bonus,,,,traditional,
succeeded,loyal,legitimate,,importance,,,,descendants,
attained,forgiving,conservation,,property,,,,tradition,
training,contribution,avoiding,,leadership,,,,heritage,
advanced,support,conventional,,royalty,,,,catholic,
craft,encouraged,,,richer,,,,marriages,
advantage,loyalty,,,pursuit,,,,almighty,
growth,,,,acquired,,,,customs,
brains,,,,influential,,,,ceremonies,
feat,,,,strengths,,,,chapel,
effective,,,,capital,,,,generations,
approval,,,,expensive,,,,angels,
expertise,,,,earnings,,,,atheist,
perfection,,,,controlling,,,,believer,
competent,,,,privilege,,,,myth,
capable,,,,,,,,satan,
ambitious,,,,,,,,devil,
capacity,,,,,,,,virtue,
,,,,,,,,priest,
,,,,,,,,legacy,
,,,,,,,,ancestors,
,,,,,,,,angel,
,,,,,,,,marital,
