AC,BE,CO,HE,PO,SE,SD,ST,TR,UN
job,help,must,pleasant,strength,afraid,thought,crazy,muslim,understand
work,need,reason,rest,strong,quiet,think,push,islam,beautiful
business,care,trust,ease,weak,scared,mind,hurry,allah,protect
top,feeling,shame,comfortable,powerful,trouble,idea,drive,honourable,welcome
best,gently,respect,enjoyed,fight,clean,knowing,shocked,mosque,share
loose,concern,served,glad,might,silence,free,kicks,christians,fair
worth,helping,ashamed,satisfaction,weakness,careful,thoughts,different,preaching,accept
losing,friend,familiar,pleasure,edge,calm,direction,shock,devil,company
jobs,backing,trusted,enjoy,standing,attention,choice,tension,orthodox,peace
appreciate,coop,duty,comfort,power,neat,interest,excitement,divinity,vulnerable
proudly,gentle,polite,comfortably,forcing,hiding,learned,bored,theology,agreement
biggest,support,avoid,delight,mighty,safe,effort,changes,virtue,beauty
proud,responsible,permission,laughter,lead,save,special,rage,mystic,cruel
professional,honest,obey,desire,humiliation,scare,learn,nerve,providence,protection
approval,favour,avoided,unpleasant,demanded,harm,smart,brave,heaven,explanation
recognize,friendly,instructed,happy,victory,warned,thinks,guts,prophets,protecting
businesses,cares,respected,enjoying,spine,warning,studied,exciting,homage,protected
elegant,thanked,patience,delighted,strengthened,threatening,acted,dramatic,corrupted,generous
quality,responsibility,discipline,humour,majesty,saving,plan,hustle,morality,fairly
celebrating,advice,honestly,appetite,rank,alarm,decision,strain,almighty,meaning
celebrate,forgive,duties,longing,richer,health,choose,thrill,conscience,address
appreciated,aid,composure,delicious,possessions,warn,curious,dull,heavenly,peaceful
recognizes,sincere,orders,happiness,conquer,safely,vision,frenzy,legacy,balance
recognition,kindly,forbidden,sensation,weaker,ward,acting,struggle,soul,graceful
savvy,helpful,suited,appeal,sway,privacy,intention,adrenaline,descendants,wise
promotion,genuine,punishment,satisfying,selfish,threatened,determined,surprisingly,histories,connection
competent,supporting,directions,delightful,aggression,insurance,clever,dramatically,saviour,beautifully
pride,confidence,committed,flavour,firmness,tidy,study,extreme,redemption,natural
elegance,compassion,required,fascination,contest,stable,confident,amusement,souls,sharing
popular,caring,avoiding,relax,splendour,salvation,act,flurry,ancient,sacrifice
promoted,sympathetic,obliged,cheerful,wealth,shelter,opinion,fuss,ritual,complex
unsuccessful,loyal,reticence,lust,profit,harmless,thoughtful,newest,generations,acknowledged
prominent,encouraging,courtesy,pleasing,acquire,sanctuary,intend,amusing,rituals,tolerate
deed,treatment,respectfully,pleasures,superiority,guardian,reflection,gamble,traditional,realization
improving,rely,obedient,entertain,riches,enemies,protest,breathtaking,ceremony,assortment
capabilities,supportive,decency,relish,demand,armour,spirit,intensive,tradition,welcoming
skills,trustworthy,hesitate,courting,gold,threat,minded,hubbub,folk,cruelty
advanced,hospitality,restraint,attraction,gain,defences,aim,spontaneous,traditions,unfair
craft,ally,measure,diversion,benefit,security,hunch,pep,ancestors,acknowledgement
experience,family,respectful,joy,abundance,secure,learning,bustle,descent,compromise
capacity,mother,certainty,charm,influence,defence,devotion,drama,gods,cooperation
effective,parents,standards,happier,profitable,order,schooling,attempting,accustomed,acceptance
accomplish,love,policies,ecstasy,fortune,danger,famous,exertion,ceremonies,tolerant
capability,husband,regularly,mirth,trade,secured,determination,glamour,origins,greedy
accomplished,families,respects,leisure,elevation,alert,talent,passion,tribe,fairness
facility,daughter,unison,extravagance,importance,survival,mature,impatience,sacred,acknowledge
capable,father,conservative,fulfilment,grandeur,dangerous,brooding,emotion,honour,wisely
results,mothers,obligation,entertaining,privilege,defensive,lessons,discover,awe,sincerity
expertise,grandmother,binding,enjoyment,reign,prevent,backbone,curiosity,ancestor,mercy
recognized,husbands,laws,celebrations,possession,precautions,resolve,passionate,customary,acknowledging
succeed,friends,adequately,temptation,nobility,safety,directing,temperament,heritage,union
competence,wives,politeness,merriment,wealthy,surviving,instinct,temper,historic,balancing
development,affection,combination,craving,dominate,prudent,poise,attempt,custom,tolerance
value,wife,propriety,lightness,conquest,damaged,freely,challenging,faithful,meaningful
